threshold,precision,recall,f1
0.1,0.5,1.0,0.6666666666666666
0.11,0.509090909090909,1.0,0.6746987951807228
0.12,0.5185185185185185,1.0,0.6829268292682927
0.13,0.5185185185185185,1.0,0.6829268292682927
0.14,0.5283018867924528,1.0,0.691358024691358
0.15,0.5490196078431373,1.0,0.7088607594936709
0.16,0.5714285714285714,1.0,0.7272727272727273
0.17,0.5714285714285714,1.0,0.7272727272727273
0.18,0.5833333333333334,1.0,0.7368421052631579
0.19,0.5833333333333334,1.0,0.7368421052631579
0.2,0.5957446808510638,1.0,0.7466666666666667
0.21,0.6086956521739131,1.0,0.7567567567567568
0.22,0.6086956521739131,1.0,0.7567567567567568
0.23,0.6222222222222222,1.0,0.7671232876712328
0.24,0.6222222222222222,1.0,0.7671232876712328
0.25,0.6511627906976745,1.0,0.7887323943661971
0.26,0.6666666666666666,1.0,0.8
0.27,0.6666666666666666,1.0,0.8
0.28,0.6666666666666666,1.0,0.8
0.29,0.7,1.0,0.8235294117647058
0.3,0.7,1.0,0.8235294117647058
0.31,0.717948717948718,1.0,0.835820895522388
0.32,0.717948717948718,1.0,0.835820895522388
0.33,0.717948717948718,1.0,0.835820895522388
0.34,0.7368421052631579,1.0,0.8484848484848485
0.35,0.7368421052631579,1.0,0.8484848484848485
0.36,0.7297297297297297,0.9642857142857143,0.8307692307692308
0.37,0.7297297297297297,0.9642857142857143,0.8307692307692308
0.38,0.7297297297297297,0.9642857142857143,0.8307692307692308
0.39,0.7297297297297297,0.9642857142857143,0.8307692307692308
0.4,0.75,0.9642857142857143,0.84375
0.41,0.7714285714285715,0.9642857142857143,0.8571428571428571
0.42,0.7941176470588235,0.9642857142857143,0.8709677419354839
0.43,0.8181818181818182,0.9642857142857143,0.8852459016393442
0.44,0.8181818181818182,0.9642857142857143,0.8852459016393442
0.45,0.8181818181818182,0.9642857142857143,0.8852459016393442
0.46,0.8181818181818182,0.9642857142857143,0.8852459016393442
0.47,0.8181818181818182,0.9642857142857143,0.8852459016393442
0.48,0.84375,0.9642857142857143,0.9
0.49,0.8387096774193549,0.9285714285714286,0.8813559322033898
0.5,0.8387096774193549,0.9285714285714286,0.8813559322033898
0.51,0.8387096774193549,0.9285714285714286,0.8813559322033898
0.52,0.8387096774193549,0.9285714285714286,0.8813559322033898
0.53,0.8387096774193549,0.9285714285714286,0.8813559322033898
0.54,0.8333333333333334,0.8928571428571429,0.8620689655172413
0.55,0.8333333333333334,0.8928571428571429,0.8620689655172413
0.56,0.8333333333333334,0.8928571428571429,0.8620689655172413
0.57,0.8620689655172413,0.8928571428571429,0.8771929824561403
0.58,0.8518518518518519,0.8214285714285714,0.8363636363636363
0.59,0.8518518518518519,0.8214285714285714,0.8363636363636363
0.6,0.9166666666666666,0.7857142857142857,0.8461538461538461
0.61,0.9166666666666666,0.7857142857142857,0.8461538461538461
0.62,0.9166666666666666,0.7857142857142857,0.8461538461538461
0.63,0.9166666666666666,0.7857142857142857,0.8461538461538461
0.64,0.9166666666666666,0.7857142857142857,0.8461538461538461
0.65,0.9166666666666666,0.7857142857142857,0.8461538461538461
0.66,0.9565217391304348,0.7857142857142857,0.8627450980392157
0.67,0.9545454545454546,0.75,0.84
0.68,0.95,0.6785714285714286,0.7916666666666666
0.69,0.95,0.6785714285714286,0.7916666666666666
0.7,0.95,0.6785714285714286,0.7916666666666666
0.71,0.9473684210526315,0.6428571428571429,0.7659574468085106
0.72,0.9473684210526315,0.6428571428571429,0.7659574468085106
0.73,0.9473684210526315,0.6428571428571429,0.7659574468085106
0.74,0.9473684210526315,0.6428571428571429,0.7659574468085106
0.75,0.9411764705882353,0.5714285714285714,0.7111111111111111
0.76,0.9411764705882353,0.5714285714285714,0.7111111111111111
0.77,0.9411764705882353,0.5714285714285714,0.7111111111111111
0.78,0.9411764705882353,0.5714285714285714,0.7111111111111111
0.79,0.9333333333333333,0.5,0.6511627906976745
0.8,0.9333333333333333,0.5,0.6511627906976745
0.81,0.9333333333333333,0.5,0.6511627906976745
0.82,0.9285714285714286,0.4642857142857143,0.6190476190476191
0.83,0.9090909090909091,0.35714285714285715,0.5128205128205128
0.84,0.8888888888888888,0.2857142857142857,0.43243243243243246
0.85,1.0,0.25,0.4
0.86,1.0,0.21428571428571427,0.35294117647058826
0.87,1.0,0.21428571428571427,0.35294117647058826
0.88,1.0,0.21428571428571427,0.35294117647058826
0.89,1.0,0.21428571428571427,0.35294117647058826
