Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8852,0.8387,0.9286,0.8814,0.9654
Neural Network,0.8361,0.7647,0.9286,0.8387,0.9621
Random Forest,0.8852,0.8387,0.9286,0.8814,0.9524
XGBoost,0.8852,0.8387,0.9286,0.8814,0.9437
