params,mean_test_score,std_test_score,rank_test_score
"{'C': 0.1, 'class_weight': 'balanced'}",0.9027904462687071,0.016869568101549073,1
"{'C': 1.0, 'class_weight': 'balanced'}",0.9024779568257829,0.014803685378876278,2
"{'C': 1.0, 'class_weight': None}",0.9021435086652477,0.014167559414483725,3
"{'C': 0.1, 'class_weight': None}",0.9021063477585217,0.016837892256865328,4
"{'C': 10.0, 'class_weight': 'balanced'}",0.9011835185748229,0.01281742539969165,5
"{'C': 10.0, 'class_weight': None}",0.8998175737306171,0.01298136995481731,6
"{'C': 0.01, 'class_weight': None}",0.8890031868292738,0.03341390380656923,7
"{'C': 0.01, 'class_weight': 'balanced'}",0.8879542357803227,0.03372581596192122,8
