feature,importance
thal_3,0.12065378174164998
thal_7,0.09187496232167978
cp_4,0.08691755553970226
ca_0,0.08605634941644004
thalach,0.07748397123385618
oldpeak,0.06466411527534646
age,0.054591014854818376
exang_0,0.04584372619442861
chol,0.04283779003627851
exang_1,0.0404439895723541
trestbps,0.03990420228931062
slope_2,0.03455229031728144
slope_1,0.03203647167671228
sex_1,0.029471278314171272
sex_0,0.028667080700570103
ca_1,0.019123708812853527
cp_3,0.0164470979443057
cp_1,0.012602316065180901
restecg_2,0.012454668391623897
restecg_0,0.012396658939778897
ca_3,0.010642634691117365
cp_2,0.01060593246407879
ca_2,0.01015043301960335
fbs_1,0.006479516902001468
fbs_0,0.0057801447770845
slope_3,0.0035792872100603936
thal_6,0.0035130902935799286
restecg_1,0.00022593100413118724
